AcYr,FrisYr,Sess,Dept,Sect,Course,Msec,Rel1,Rel2,Cap,MarkCal,Activity,Class Day,Start,Finish,U/G,Disc Date
2025,2025-2026,Winter,ECE,COEN212/4-WI-X 2,COEN212,,WI-X,2,16,1.2 attibute: 0.15,LAB-Laboratory,M------,08:45,11:30,U,2026-03-23
2025,2025-2026,Winter,ECE,COEN212/4-WJ-X 2,COEN212,,WJ-X,2,16,1.2 attibute: 0.15,LAB-Laboratory,M------,08:45,11:30,U,2026-03-23
2025,2025-2026,Winter,ECE,COEN212/4-WK-X 2,COEN212,,WK-X,2,16,1.2 attibute: 0.15,LAB-Laboratory,M------,17:45,20:30,U,2026-03-23
2025,2025-2026,Winter,ECE,COEN212/4-WL-X 2,COEN212,,WL-X,2,16,1.2 attibute: 0.15,LAB-Laboratory,M------,17:45,20:30,U,2026-03-23
2025,2025-2026,Winter,ECE,COEN212/4-WM-X 2,COEN212,,WM-X,2,16,1.2 attibute: 0.15,LAB-Laboratory,M------,14:45,17:30,U,2026-03-23
2025,2025-2026,Winter,ECE,COEN212/4-WN-X 2,COEN212,,WN-X,2,16,1.2 attibute: 0.15,LAB-Laboratory,M------,14:45,17:30,U,2026-03-23
2025,2025-2026,Winter,ECE,COEN243/4-JI-X 1,COEN243,,JI-X,1,16,1.2 attibute: 0.15,LAB-Laboratory,-T-----,17:45,19:25,U,2026-03-23
2025,2025-2026,Winter,ECE,COEN243/4-JK-X 1,COEN243,,JK-X,1,16,1.2 attibute: 0.15,LAB-Laboratory,-T-----,17:45,19:25,U,2026-03-23
2025,2025-2026,Winter,ECE,COEN243/4-JL-X 1,COEN243,,JL-X,1,16,1.2 attibute: 0.15,LAB-Laboratory,---J---,17:45,19:25,U,2026-03-23
2025,2025-2026,Winter,ECE,COEN243/4-JM-X 1,COEN243,,JM-X,1,16,1.2 attibute: 0.15,LAB-Laboratory,---J---,17:45,19:25,U,2026-03-23
2025,2025-2026,Winter,ECE,COEN243/4-JN-X 1,COEN243,,JN-X,1,16,1.2 attibute: 0.15,LAB-Laboratory,M------,17:45,19:25,U,2026-03-23
2025,2025-2026,Winter,ECE,COEN243/4-JO-X 1,COEN243,,JO-X,1,16,1.2 attibute: 0.15,LAB-Laboratory,M------,17:45,19:25,U,2026-03-23
