AcYr,FrisYr,Sess,Dept,Sect,Course,Msec,Rel1,Rel2,Cap,MarkCal,Activity,Class Day,Start,Finish,U/G,Disc Date,ClassStartDate,ClassEndDate
2025,2025-2026,Winter,ECE,COEN99236/4-K 2,COEN99236,,K,2,80,1.2 attibute: 0.15,LEC-Lecture,M-W----,8:45,10:00,U,2026-03-23,2026-01-12,2026-05-01
2025,2025-2026,Winter,ECE,COEN99236/4-K KA 2,COEN99236,,K KA,2,20,1.2 attibute: 0.15,TUT-Tutorial,M------,10:15,11:05,U,2026-03-23,2026-01-12,2026-05-01
2025,2025-2026,Winter,ECE,COEN99236/4-K KB 2,COEN99236,,K KB,2,20,1.2 attibute: 0.15,TUT-Tutorial,--W----,10:15,11:05,U,2026-03-23,2026-01-12,2026-05-01
2025,2025-2026,Winter,ECE,COEN99236/4-K KC 2,COEN99236,,K KC,2,20,1.2 attibute: 0.15,TUT-Tutorial,----F--,13:15,14:05,U,2026-03-23,2026-01-12,2026-05-01
2025,2025-2026,Winter,ECE,COEN99236/4-K KD 2,COEN99236,,K KD,2,20,1.2 attibute: 0.15,TUT-Tutorial,---J---,13:15,14:05,U,2026-03-23,2026-01-12,2026-05-01
2025,2025-2026,Winter,ECE,COEN99236/4-KL-X 2,COEN99236,,KL-X,2,16,1.2 attibute: 0.15,LAB-Laboratory,---J---,17:45,20:30,U,2026-03-23,2026-01-25,2026-01-31
2025,2025-2026,Winter,ECE,COEN99236/4-KM-X 2,COEN99236,,KM-X,2,16,1.2 attibute: 0.15,LAB-Laboratory,M------,17:45,20:30,U,2026-03-23,2026-01-25,2026-01-31
2025,2025-2026,Winter,ECE,COEN99236/4-KN-X 2,COEN99236,,KN-X,2,16,1.2 attibute: 0.15,LAB-Laboratory,----F--,17:45,20:30,U,2026-03-23,2026-01-25,2026-01-31
2025,2025-2026,Winter,ECE,COEN99236/4-KO-X 2,COEN99236,,KO-X,2,16,1.2 attibute: 0.15,LAB-Laboratory,---J---,17:45,20:30,U,2026-03-23,2026-02-01,2026-02-07
2025,2025-2026,Winter,ECE,COEN99236/4-KP-X 2,COEN99236,,KP-X,2,16,1.2 attibute: 0.15,LAB-Laboratory,M------,17:45,20:30,U,2026-03-23,2026-02-01,2026-02-07
2025,2025-2026,Winter,ECE,COEN99236/4-KQ-X 2,COEN99236,,KQ-X,2,16,1.2 attibute: 0.15,LAB-Laboratory,----F--,17:45,20:30,U,2026-03-23,2026-02-01,2026-02-07
