Name,Program,EntryTerm,Option,DurationYears
TESTIMPORT,COEN,fall,COOP,4
TermNumber,YearNumber,Season,WorkTerm,Notes
1,1,fall,FALSE,
2,1,winter,FALSE,
3,1,summer,FALSE,
4,2,fall,TRUE,
5,2,winter,FALSE,
6,2,summer,FALSE,
7,3,fall,FALSE,
8,3,winter,TRUE,
9,3,summer,TRUE,
10,4,fall,FALSE,
11,4,winter,FALSE,
TermNumber,Subject,Catalog,Label,
1,COEN,243,,
1,COEN,212,,
1,COEN,231,,
1,ENGR,213,,
1,ENGR,201,,
1,ENGR,202,,
2,COEN,311,,
2,ELEC,273,,
2,COEN,244,,
2,ENGR,233,,
2,ENCS,282,,
3,COEN,313,,
3,COEN,352,,
3,ENGR,371,,
3,ENGR,391,,
5,ELEC,242,,
5,COEN,314,,
5,SOEN,341,,
5,ENGR,290,,
5,COEN,346,,
6,ELEC,372,,
6,ELEC,342,,
6,ENGR,392,,
6,ENGR,301,,
7,COEN,366,,
7,COEN,390,,
7,COEN,320,,
7,COEN,316,,
7,COEN,317,,
10,COEN,490,,
11,COEN,490,,
