subject,catalog_nbr,class_nbr,day_of_week,start_time,end_time,lab_count,biweekly_lab_freq,lab_duration,tut_count,weekly_tut_freq,tut_duration,lec_section,tut_sections,lab_sections
COEN,212,W,TuTh,08.45.00,10.00.00,4,1,165,4,1,100,W,"W WA,W WB,W WC,W WD","WJ-X,WL-X,WN-X,WR-X"
COEN,231,W,TuTh,14.45.00,16.00.00,,,,3,1,50,W,"W WA,W WB,W WC",
COEN,243,J,TuTh,16.15.00,17.30.00,6,1,100,5,1,100,J,"J JA,J JB,J JC,J JD,J JE","JI-X,JK-X,JL-X,JM-X,JN-X,JO-X"
COEN,244,D,TuTh,14.45.00,16.00.00,,,,5,1,100,D,"D DA,D DB,D DC,D DD,D DE",
COEN,244,S,MoWe,13.15.00,14.30.00,,,,4,1,100,S,"S SA,S SB,S SC,S SE",
COEN,311,W,WeFr,14.45.00,16.00.00,7,1,165,3,1,50,W,"W WA,W WB,W WC","WJ-X,WK-X,WL-X,WM-X,WN-X,WO-X,WP-X"
COEN,311,Y,TuTh,11.45.00,13.00.00,8,1,165,3,1,50,Y,"Y YA,Y YB,Y YC","YI-X,YJ-X,YK-X,YL-X,YM-X,YN-X,YO-X,YP-X"
COEN,313,U,TuTh,08.45.00,10.00.00,8,1,165,3,1,50,U,"U UA,U UB,U UC","UI-X,UJ-X,UK-X,UL-X,UN-X,UO-X,UP-X,UR-X"
COEN,314,W,MoWe,11.45.00,13.00.00,6,1,165,3,1,50,W,"W WA,W WB,W WC","WJ-X,WK-X,WL-X,WM-X,WN-X,WO-X"
COEN,316,W,TuTh,11.45.00,13.00.00,7,1,165,3,1,50,W,"W WA,W WB,W WC","WA-X,WB-X,WC-X,WD-X,WE-X,WF-X,WG-X"
COEN,317,U,WeFr,14.45.00,16.00.00,6,1,165,3,1,50,U,"U UA,U UB,U UC","UI-X,UJ-X,UK-X,UL-X,UN-X,UP-X"
COEN,320,P,MoWe,10.15.00,11.30.00,3,1,165,3,1,50,P,"P PA,P PB,P PC","PJ-X,PL-X,PN-X"
COEN,346,Y,MoWe,10.15.00,11.30.00,7,1,165,3,1,50,Y,"Y YA,Y YB,Y YC","YI-X,YJ-X,YK-X,YL-X,YM-X,YN-X,YP-X"
COEN,352,V,WeFr,16.15.00,17.30.00,,,,4,1,50,V,"V VA,V VB,V VC,V VD",
COEN,366,W,TuTh,16.15.00,17.30.00,6,1,165,,,,W,,"WI-X,WJ-X,WK-X,WL-X,WM-X,WN-X"
COEN,421,U,Tu,14.45.00,17.30.00,,,,,,,U,,
COEN,422,W,Tu,14.45.00,17.30.00,,,,,,,W,,
COEN,433,U,Tu,14.45.00,17.30.00,,,,,,,U,,
COEN,448,W,Th,14.45.00,17.30.00,1,1,165,1,1,50,W,W WA,WJ-X
COEN,498,P,Tu,14.45.00,17.30.00,,,,,,,P,,
COEN,498,W,We,14.45.00,17.30.00,,,,,,,WW,,
COEN,6211,U,Tu,14.45.00,17.30.00,,,,,,,U,,
COEN,6311,M,Fr,14.45.00,17.30.00,,,,,,,M,,
COEN,6312,V,We,17.45.00,20.15.00,,,,,,,V,,
COEN,6331,W,We,14.45.00,17.30.00,,,,,,,WW,,
COEN,6341,U,Tu,14.45.00,17.30.00,,,,,,,U,,
COEN,6561,W,Tu,14.45.00,17.30.00,,,,,,,W,,
COEN,6731,F,We,17.45.00,20.15.00,,,,,,,F,,
COEN,6761,W,Th,14.45.00,17.30.00,,,,,,,W,,
COEN,691,O,Th,14.45.00,17.30.00,,,,,,,O,,
COEN,691,P,Tu,14.45.00,17.30.00,,,,,,,P,,
ELEC,242,U,TuTh,13.15.00,14.30.00,,,,6,1,100,U,"U UA,U UB,U UC,U UD,U UE,U UF",
ELEC,251,W,TuTh,10.15.00,11.30.00,,,,2,1,50,W,"W WA,W WB",
ELEC,273,D,MoWe,08.45.00,10.00.00,8,1,165,4,1,100,D,"D DA,D DB,D DC,D DD","DI-X,DJ-X,DK-X,DL-X,DM-X,DN-X,DO-X,DP-X"
ELEC,273,W,TuTh,10.15.00,11.30.00,6,1,165,4,1,100,W,"W WA,W WB,W WC,W WD","WI-X,WJ-X,WK-X,WL-X,WM-X,WN-X"
