bldg,room,subject,course1,course2,course3,course4,course5
H,807,COEN,212,,,,
H,813,COEN,311,,,,
H,859,COEN,313,316,,,
H,861,COEN,314,,,,
H,861,ELEC,321,,,,
H,913,COEN,316,317,,,
H,867,COEN,421,446,,,
H,915,COEN,451,,,,
H,915,ELEC,413,423,466,,
H,822,ELEC,273,275,,,
H,832-6,ELEC,273,275,,,
H,855,ELEC,311,312,425,441,
H,945,ELEC,331,433,440,,
H,853,ELEC,351,453,456,6341,6391
H,921,ELEC,366,,,,
H,801,ELEC,367,,,,
H,863,ELEC,372,,,,
H,919,ELEC,465,472,6181,,
H,805-3,ELEC,481,,,,
H,832-2,ELEC,483,,,,
