planid,planname,program,sequencetermid,yearnumber,season,season_code,courses
1,25-26 COEN COOP,COEN,2,1,winter,4,"COEN244,COEN311,ELEC273"
1,25-26 COEN COOP,COEN,5,2,winter,4,"COEN314,COEN346,ELEC242,ENGR290"
2,25-26 COEN C-EDGE FALL,COEN,13,1,winter,4,"COEN244,COEN311,ELEC273"
2,25-26 COEN C-EDGE FALL,COEN,16,2,winter,4,"COEN314,COEN346,ELEC342,ENGR290"
3,25-26 ELEC COOP,ELEC,24,1,winter,4,"COEN244,COEN311,ELEC273"
3,25-26 ELEC COOP,ELEC,27,2,winter,4,"ELEC251,ELEC311,ELEC321,ELEC342,ENGR290"
4,25-26 ELEC C-EDGE FALL,ELEC,35,1,winter,4,"COEN244,COEN311,ELEC273"
4,25-26 ELEC C-EDGE FALL,ELEC,38,2,winter,4,"ELEC321,ELEC331,ELEC342,ENGR290"
5,25-26 COEN C-EDGE WINTER,COEN,45,1,winter,4,"COEN212,COEN231,COEN243"
5,25-26 COEN C-EDGE WINTER,COEN,48,2,winter,4,"COEN314,COEN346,ELEC342,ENGR290"
6,25-26 ELEC C-EDGE WINTER,ELEC,55,1,winter,4,"COEN212,COEN231,COEN243"
6,25-26 ELEC C-EDGE WINTER,ELEC,58,2,winter,4,"ELEC321,ELEC331,ELEC342,ENGR290"
