Building,Room,Day_Number,Day_Name,Start_Time,End_Time,Start_Minutes,End_Minutes,Subject,Catalog_Nbr,Class_Nbr,Lab_Index,Course
H,801,3,Week 1 - Wednesday,14:45,17:30,885,1050,ELEC,367,W,3,ELEC367
H,801,9,Week 2 - Tuesday,17:45,20:30,1065,1230,ELEC,367,W,2,ELEC367
H,801,10,Week 2 - Wednesday,08:45,11:30,525,690,ELEC,367,W,1,ELEC367
H,801,10,Week 2 - Wednesday,17:45,20:30,1065,1230,ELEC,367,W,0,ELEC367
H,807,5,Week 1 - Friday,14:45,17:30,885,1050,COEN,212,W,0,COEN212
H,807,11,Week 2 - Thursday,14:45,17:30,885,1050,COEN,212,W,2,COEN212
H,807,12,Week 2 - Friday,11:45,14:30,705,870,COEN,212,W,1,COEN212
H,807,12,Week 2 - Friday,14:45,17:30,885,1050,COEN,212,W,3,COEN212
H,813,1,Week 1 - Monday,14:45,17:30,885,1050,COEN,311,W,0,COEN311
H,813,1,Week 1 - Monday,17:45,20:30,1065,1230,COEN,311,Y,0,COEN311
H,813,3,Week 1 - Wednesday,08:45,11:30,525,690,COEN,311,Y,4,COEN311
H,813,3,Week 1 - Wednesday,11:45,14:30,705,870,COEN,311,W,1,COEN311
H,813,3,Week 1 - Wednesday,14:45,17:30,885,1050,COEN,311,Y,5,COEN311
H,813,4,Week 1 - Thursday,08:45,11:30,525,690,COEN,311,W,2,COEN311
H,813,4,Week 1 - Thursday,14:45,17:30,885,1050,COEN,311,Y,1,COEN311
H,813,8,Week 2 - Monday,08:45,11:30,525,690,COEN,311,Y,3,COEN311
H,813,9,Week 2 - Tuesday,14:45,17:30,885,1050,COEN,311,W,4,COEN311
H,813,9,Week 2 - Tuesday,17:45,20:30,1065,1230,COEN,311,Y,2,COEN311
H,813,10,Week 2 - Wednesday,11:45,14:30,705,870,COEN,311,W,6,COEN311
H,813,10,Week 2 - Wednesday,17:45,20:30,1065,1230,COEN,311,Y,6,COEN311
H,813,11,Week 2 - Thursday,17:45,20:30,1065,1230,COEN,311,W,5,COEN311
H,813,12,Week 2 - Friday,17:45,20:30,1065,1230,COEN,311,Y,7,COEN311
H,822,1,Week 1 - Monday,08:45,11:30,525,690,ELEC,275,S,1,ELEC275
H,822,1,Week 1 - Monday,11:45,14:30,705,870,ELEC,275,J,1,ELEC275
H,822,1,Week 1 - Monday,14:45,17:30,885,1050,ELEC,273,W,3,ELEC273
H,822,2,Week 1 - Tuesday,11:45,14:30,705,870,ELEC,275,J,3,ELEC275
H,822,3,Week 1 - Wednesday,11:45,14:30,705,870,ELEC,273,D,0,ELEC273
H,822,3,Week 1 - Wednesday,14:45,17:30,885,1050,ELEC,273,W,5,ELEC273
H,822,3,Week 1 - Wednesday,17:45,20:30,1065,1230,ELEC,273,W,4,ELEC273
H,822,4,Week 1 - Thursday,11:45,14:30,705,870,ELEC,273,W,0,ELEC273
H,822,4,Week 1 - Thursday,17:45,20:30,1065,1230,ELEC,275,J,2,ELEC275
H,822,5,Week 1 - Friday,08:45,11:30,525,690,ELEC,273,W,1,ELEC273
H,822,5,Week 1 - Friday,11:45,14:30,705,870,ELEC,273,D,4,ELEC273
H,822,5,Week 1 - Friday,17:45,20:30,1065,1230,ELEC,275,S,0,ELEC275
H,822,8,Week 2 - Monday,14:45,17:30,885,1050,ELEC,275,J,0,ELEC275
H,822,8,Week 2 - Monday,17:45,20:30,1065,1230,ELEC,273,D,2,ELEC273
H,822,9,Week 2 - Tuesday,08:45,11:30,525,690,ELEC,273,D,3,ELEC273
H,822,11,Week 2 - Thursday,08:45,11:30,525,690,ELEC,273,D,5,ELEC273
H,822,12,Week 2 - Friday,08:45,11:30,525,690,ELEC,273,D,1,ELEC273
H,822,12,Week 2 - Friday,17:45,20:30,1065,1230,ELEC,273,W,2,ELEC273
H,832-2,1,Week 1 - Monday,14:45,17:30,885,1050,ELEC,483,U,0,ELEC483
H,832-2,1,Week 1 - Monday,17:45,20:30,1065,1230,ELEC,483,U,1,ELEC483
H,832-2,5,Week 1 - Friday,08:45,11:30,525,690,ELEC,483,U,2,ELEC483
H,853,1,Week 1 - Monday,11:45,14:30,705,870,ELEC,453,W,1,ELEC453
H,853,1,Week 1 - Monday,17:45,20:30,1065,1230,ELEC,351,W,4,ELEC351
H,853,3,Week 1 - Wednesday,08:45,11:30,525,690,ELEC,453,W,0,ELEC453
H,853,4,Week 1 - Thursday,08:45,11:30,525,690,ELEC,351,W,1,ELEC351
H,853,8,Week 2 - Monday,11:45,14:30,705,870,ELEC,351,W,0,ELEC351
H,853,9,Week 2 - Tuesday,14:45,17:30,885,1050,ELEC,351,W,3,ELEC351
H,853,12,Week 2 - Friday,08:45,11:30,525,690,ELEC,6391,W,0,ELEC6391
H,853,12,Week 2 - Friday,14:45,17:30,885,1050,ELEC,351,W,5,ELEC351
H,853,12,Week 2 - Friday,17:45,20:30,1065,1230,ELEC,6391,W,1,ELEC6391
H,855,3,Week 1 - Wednesday,14:45,17:30,885,1050,ELEC,312,W,1,ELEC312
H,855,3,Week 1 - Wednesday,17:45,20:30,1065,1230,ELEC,311,H,3,ELEC311
H,855,4,Week 1 - Thursday,08:45,11:30,525,690,ELEC,312,W,0,ELEC312
H,855,5,Week 1 - Friday,11:45,14:30,705,870,ELEC,311,H,2,ELEC311
H,855,10,Week 2 - Wednesday,17:45,20:30,1065,1230,ELEC,311,H,1,ELEC311
H,855,11,Week 2 - Thursday,14:45,17:30,885,1050,ELEC,311,H,0,ELEC311
H,855,11,Week 2 - Thursday,17:45,20:30,1065,1230,ELEC,312,W,3,ELEC312
H,855,12,Week 2 - Friday,11:45,14:30,705,870,ELEC,312,W,2,ELEC312
H,859,2,Week 1 - Tuesday,11:45,14:30,705,870,COEN,313,U,2,COEN313
H,859,2,Week 1 - Tuesday,17:45,20:30,1065,1230,COEN,316,W,4,COEN316
H,859,3,Week 1 - Wednesday,11:45,14:30,705,870,COEN,316,W,1,COEN316
H,859,3,Week 1 - Wednesday,14:45,17:30,885,1050,COEN,313,U,4,COEN313
H,859,3,Week 1 - Wednesday,17:45,20:30,1065,1230,COEN,316,W,3,COEN316
H,859,4,Week 1 - Thursday,08:45,11:30,525,690,COEN,316,W,2,COEN316
H,859,5,Week 1 - Friday,08:45,11:30,525,690,COEN,313,U,1,COEN313
H,859,5,Week 1 - Friday,11:45,14:30,705,870,COEN,313,U,7,COEN313
H,859,5,Week 1 - Friday,17:45,20:30,1065,1230,COEN,313,U,0,COEN313
H,859,8,Week 2 - Monday,08:45,11:30,525,690,COEN,313,U,5,COEN313
H,859,9,Week 2 - Tuesday,17:45,20:30,1065,1230,COEN,316,W,0,COEN316
H,859,11,Week 2 - Thursday,17:45,20:30,1065,1230,COEN,316,W,6,COEN316
H,861,1,Week 1 - Monday,08:45,11:30,525,690,COEN,314,W,5,COEN314
H,861,1,Week 1 - Monday,14:45,17:30,885,1050,ELEC,321,E,3,ELEC321
H,861,2,Week 1 - Tuesday,08:45,11:30,525,690,ELEC,321,E,2,ELEC321
H,861,4,Week 1 - Thursday,11:45,14:30,705,870,COEN,314,W,0,COEN314
H,861,4,Week 1 - Thursday,14:45,17:30,885,1050,COEN,314,W,1,COEN314
H,861,5,Week 1 - Friday,17:45,20:30,1065,1230,ELEC,321,E,0,ELEC321
H,861,9,Week 2 - Tuesday,08:45,11:30,525,690,ELEC,321,E,1,ELEC321
H,861,10,Week 2 - Wednesday,08:45,11:30,525,690,COEN,314,W,3,COEN314
H,861,11,Week 2 - Thursday,17:45,20:30,1065,1230,COEN,314,W,2,COEN314
H,861,12,Week 2 - Friday,11:45,14:30,705,870,ELEC,321,E,4,ELEC321
H,861,12,Week 2 - Friday,14:45,17:30,885,1050,COEN,314,W,4,COEN314
H,863,3,Week 1 - Wednesday,14:45,17:30,885,1050,ELEC,372,U,2,ELEC372
H,863,8,Week 2 - Monday,17:45,20:30,1065,1230,ELEC,372,U,3,ELEC372
H,863,10,Week 2 - Wednesday,17:45,20:30,1065,1230,ELEC,372,U,1,ELEC372
H,863,11,Week 2 - Thursday,17:45,20:30,1065,1230,ELEC,372,U,0,ELEC372
H,863,12,Week 2 - Friday,11:45,14:30,705,870,ELEC,372,U,4,ELEC372
H,913,3,Week 1 - Wednesday,11:45,14:30,705,870,COEN,317,U,2,COEN317
H,913,8,Week 2 - Monday,14:45,17:30,885,1050,COEN,317,U,0,COEN317
H,913,10,Week 2 - Wednesday,11:45,14:30,705,870,COEN,317,U,3,COEN317
H,913,10,Week 2 - Wednesday,17:45,20:30,1065,1230,COEN,317,U,1,COEN317
H,913,11,Week 2 - Thursday,11:45,14:30,705,870,COEN,317,U,5,COEN317
H,919,2,Week 1 - Tuesday,08:45,11:30,525,690,ELEC,465,W,0,ELEC465
H,919,3,Week 1 - Wednesday,14:45,17:30,885,1050,ELEC,465,W,1,ELEC465
H,921,1,Week 1 - Monday,08:45,11:30,525,690,ELEC,366,M,2,ELEC366
H,921,5,Week 1 - Friday,11:45,14:30,705,870,ELEC,366,M,1,ELEC366
H,921,10,Week 2 - Wednesday,11:45,14:30,705,870,ELEC,366,M,0,ELEC366
H,945,3,Week 1 - Wednesday,08:45,11:30,525,690,ELEC,331,W,1,ELEC331
H,945,4,Week 1 - Thursday,11:45,14:30,705,870,ELEC,331,W,2,ELEC331
H,945,5,Week 1 - Friday,14:45,17:30,885,1050,ELEC,331,W,3,ELEC331
H,945,8,Week 2 - Monday,11:45,14:30,705,870,ELEC,331,W,5,ELEC331
H,945,9,Week 2 - Tuesday,11:45,14:30,705,870,ELEC,331,W,0,ELEC331
H,945,11,Week 2 - Thursday,17:45,20:30,1065,1230,ELEC,331,W,4,ELEC331
